metric
GrossMarginAsPercentOfRevenue
OperatingIncomeAsPercentOfRevenue
NetIncomeAsPercentOfRevenue
FixedAssetsAsPercentOfRevenue
ReturnOnInvestedCapitalExclGoodwill
GoodwillAsPercentOfInvestedCapital
ReturnOnInvestedCapitalInclGoodwill
ReturnOnEquity
ReturnOnAssets
EffectiveInterestRate
InterestBurden
EffectiveTaxRate
TaxBurden
AssetTurnover
PropertyPlantAndEquipmentTurnover
CashTurnover
ReceivablesTurnover
InventoryTurnover
AccountsPayableTurnover
AssetsToEquity
DebtToEquity
DebtToTangibleNetWorth
DebtToEBITA
DebtToEBITDA
CurrentRatio
QuickRatio
EBITDAToInterest
CostOfRevenueAsPercentOfRevenue
SGAAsPercentOfRevenue
DepreciationAsPercentOfLastYearPPE
AmortizationAsPercentOfRevenue
DepreciationAndAmortizationAsPercentOfRevenue
ResearchAndDevelopmentAsPercentOfRevenue
GoodwillImpairmentAsPercentOfRevenue
OtherOperatingExpenseAsPercentOfRevenue
OperatingIncomeOrEBITAsPercentOfRevenue
InterestExpenseAsPercentOfRevenue
InterestIncomeAsPercentOfRevenue
InterestIncomeAsPercentOfPriorYearExcessCash
InterestExpenseIncomeNetAsPercentOfRevenue
OtherNonoperatingIncomeAsPercentOfRevenue
NonoperatingIncomeExpenseNetAsPercentOfRevenue
PretaxIncomeAsPercentOfRevenue
TaxProvisionAsPercentOfRevenue
TaxProvisionAsPercentOfPretaxIncome
NetIncomeControllingAsPercentOfRevenue
NetIncomeNoncontrollingAsPercentOfRevenue
StockBasedCompensationAsPercentOfRevenue
CommonStockDividendPaymentAsPercentOfRevenue
CommonStockDividendPaymentAsPercentOfNetIncome
CommonStockRepurchasePaymentAsPercentOfRevenue
CommonStockRepurchasePaymentAsPercentOfNetIncome
EBITAAsPercentOfRevenue
EBITDAAsPercentOfRevenue
TaxOperatingAsPercentOfRevenue
TaxOperatingAsPercentOfNOPAT
NetOperatingProfitAfterTaxesAsPercentOfRevenue
LeaseExpenseAsPercentOfTotalLeaseLiabilities
CapitalExpendituresAsPercentOfRevenue
UnexplainedChangesInPPEAsPercentOfRevenue
UnexplainedChangesInPPEAsPercentOfPPE
CashAndCashEquivalentsAsPercentOfRevenue
ReceivablesCurrentAsPercentOfRevenue
NontradeReceivablesCurrentAsPercentOfRevenue
InventoryAsPercentOfRevenue
PrepaidExpenseAsPercentOfRevenue
OtherAssetsCurrentAsPercentOfRevenue
AssetsCurrentAsPercentOfRevenue
PropertyPlantAndEquipmentAsPercentOfRevenue
OperatingLeaseAssetsAsPercentOfRevenue
FinanceLeaseAssetsAsPercentOfRevenue
GoodwillAsPercentOfRevenue
ReceivablesNoncurrentAsPercentOfRevenue
OtherAssetsNoncurrentAsPercentOfRevenue
AssetsNoncurrentAsPercentOfRevenue
AssetsAsPercentOfRevenue
AccountsPayableCurrentAsPercentOfRevenue
EmployeeAccruedLiabilitiesCurrentAsPercentOfRevenue
AccruedLiabilitiesCurrentAsPercentOfRevenue
AccruedIncomeTaxesCurrentAsPercentOfRevenue
AccruedIncomeTaxesCurrentAsPercentOfPretaxIncome
DeferredRevenueCurrentAsPercentOfRevenue
ShortTermDebtAsPercentOfRevenue
CommercialPaperAsPercentOfRevenue
ShortTermDebtInclPaperAsPercentOfRevenue
LongTermDebtCurrentAsPercentOfRevenue
LongTermDebtCurrentAsPercentOfLongTermDebt
OperatingLeaseLiabilitiesCurrentAsPercentOfRevenue
FinanceLeaseLiabilitiesCurrentAsPercentOfRevenue
OtherLiabilitiesCurrentAsPercentOfRevenue
LiabilitiesCurrentAsPercentOfRevenue
LongTermDebtNoncurrentAsPercentOfRevenue
OperatingLeaseLiabilitiesNoncurrentAsPercentOfRevenue
FinanceLeaseLiabilitiesNoncurrentAsPercentOfRevenue
TotalLeaseLiabilitiesAsPercentOfRevenue
DeferredTaxLiabilitiesNetAsPercentOfRevenue
DeferredTaxLiabilitiesNetAsPercentOfTaxProvision
OtherLiabilitiesNoncurrentAsPercentOfRevenue
LiabilitiesNoncurrentAsPercentOfRevenue
LiabilitiesAsPercentOfRevenue
CommonStockAsPercentOfRevenue
PaidInCapitalCommonStockAsPercentOfRevenue
AccumulatedOtherIncomeAsPercentOfRevenue
RetainedEarningsAccumulatedAsPercentOfRevenue
EquityAsPercentOfAssets
EquityInNoncontrollingInterestsAsPercentOfRevenue
OperatingCashAsPercentOfRevenue
ExcessCashAsPercentOfRevenue
ReceivablesAsPercentOfRevenue
DebtAsPercentOfRevenue
