metric
Depreciation
DepreciationAndIntangibleAssetAmortization
DnAPortionConsolidatedIntoSGA
IntangibleAssetAmortization
DepreciationInCOGS
DepreciationInSGA
IntangibleAssetAmortizationInCOGS
IntangibleAssetAmortizationInSGA
FinanceLeaseAssets
FinanceLeaseLiabilitiesCurrent
FinanceLeaseLiabilitiesNoncurrent
OperatingLeaseAssets
OperatingLeaseLiabilitiesCurrent
OperatingLeaseLiabilitiesNoncurrent
OperatingLeaseCost
VariableLeaseCost
OperatingLeaseDiscountRate
OperatingLeaseNewAssetsObtained
FinanceLeaseDiscountRate
FinanceLeaseTerm
FinanceLeaseNewAssetsObtained
Goodwill
DeferredTaxAssets
DeferredTaxLiabilities
ValuationAllowance
DeferredTaxLiabilitiesNet
InterestIncome
InterestExpense
StockBasedCompensation

