metric
RevenueGrowthRate
Revenue
CostOfRevenue
GrossMargin
SellingAndMarketingExpense
GeneralAndAdministrativeExpense
FulfillmentExpense
TechnologyExpense
SellingGeneralAndAdministration
Depreciation
Amortization
DepreciationAndAmortization
ResearchAndDevelopment
GoodwillImpairment
OtherOperatingExpense
OperatingExpenses
CostsAndExpenses
OperatingIncome
InterestExpense
InterestIncome
InterestExpenseIncomeNet
OtherNonoperatingIncome
NonoperatingIncomeExpenseNet
PretaxIncome
TaxProvision
NetIncomeControlling
NetIncomeNoncontrolling
NetIncome
SharesOutstandingBasic
SharesOutstandingDiluted
EBIT
EBITA
EBITDA
TaxOperating
NetOperatingProfitAfterTaxes
EffectiveTaxRate
LeaseExpense
EBITDAR
UnexplainedChangesInPPE
CapitalExpenditures
CommonStockDividendPayment
CommonStockRepurchasePayment
StockBasedCompensation
Cash
ShortTermInvestments
CashAndShortTermInvestments
MarketableSecuritiesCurrent
CashAndCashEquivalents
ReceivablesCurrent
NontradeReceivablesCurrent
Inventory
PrepaidExpense
OtherAssetsCurrent
AssetsCurrent
MarketableSecuritiesNoncurrent
LongTermInvestments
PropertyPlantAndEquipment
OperatingLeaseAssets
FinanceLeaseAssets
Goodwill
IntangibleAssets
DeferredTaxAssets
ReceivablesNoncurrent
OtherAssetsNoncurrent
AssetsNoncurrent
Assets
AccountsPayableCurrent
EmployeeAccruedLiabilitiesCurrent
AccruedLiabilitiesCurrent
AccruedIncomeTaxesCurrent
DeferredRevenueCurrent
ShortTermDebt
CommercialPaper
ShortTermDebtInclPaper
LongTermDebtCurrent
OperatingLeaseLiabilitiesCurrent
FinanceLeaseLiabilitiesCurrent
OtherLiabilitiesCurrent
LiabilitiesCurrent
LongTermDebtNoncurrent
AccruedIncomeTaxesNoncurrent
DeferredRevenueNoncurrent
OperatingLeaseLiabilitiesNoncurrent
FinanceLeaseLiabilitiesNoncurrent
DeferredTaxLiabilities
DeferredTaxLiabilitiesNet
OtherLiabilitiesNoncurrent
LiabilitiesNoncurrent
Liabilities
CommonStock
PaidInCapitalCommonStock
RetainedEarningsAccumulated
AccumulatedOtherIncome
Equity
EquityInNoncontrollingInterests
LiabilitiesAndEquity
BalanceBalanceSheet
OperatingCash
ExcessCash
Receivables
LongTermDebt
Debt
NetOperatingWorkingCapital
CurrentLiabilitiesExclRevolver
TotalLeaseLiabilities
OperatingCashFlow
AssetImpairmentCharge
UnrealizedGainOnInvestments
OtherNoncashChanges
DecreaseInReceivablesCurrent
DecreaseInNontradeReceivablesCurrent
DecreaseInInventory
DecreaseInPrepaidExpense
DecreaseInOtherAssetsCurrent
DecreaseInDeferredTaxAssets
DecreaseInOperatingLeaseAssets
DecreaseInFinanceLeaseAssets
DecreaseInReceivablesNoncurrent
DecreaseInOtherAssetsNoncurrent
IncreaseInAccountsPayable
IncreaseInEmployeeAccruedLiabilities
IncreaseInAccruedLiabilities
IncreaseInAccruedIncomeTaxes
IncreaseInDeferredRevenue
IncreaseInOtherLiabilitiesCurrent
IncreaseInDeferredTaxLiabilities
IncreaseInDeferredTaxLiabilitiesNet
IncreaseInLeaseLiabilities
IncreaseInOtherLiabilitiesNoncurrent
DecreaseInOtherOperatingCapitalNet
InvestingCashFlow
PurchaseOfPPE
SaleOfPPE
PurchaseOfBusiness
SaleOfBusiness
PurchaseOfInvestment
SaleOfInvestment
OtherInvestingChanges
FinancingCashFlow
ShortTermDebtIssuance
ShortTermDebtPayment
LongTermDebtIssuance
LongTermDebtPayment
CommonStockIssuance
TaxWithholdingPayment
MinorityDividendPayment
MinorityShareholderPayment
PurchaseofNoncontrollingInterest
EffectOfExchangeRate
NetCashFlow
FinancingCashFlowExclRevolver
NetCashFlowExclShortTermDebtInclPaper
CashAvailableToPayShortTermDebtInclPaper
MinBalanceOfShortTermDebtInclPaper
PaydownOfShortTermDebtInclPaper
OperaingCurrentAssets
OperaingCurrentLiabilities
OperaingWorkingCapital
InvestedCapitalExclGoodwill
InvestedCapitalInclGoodwill
NoncurrentInvestmentsAndSecurities
DeferredIncomeTaxAssetsNet
TotalFundsInvested
DebtAndDebtEquivalents
EquityAndEquityEquivalents
DebtAndEquity
BalanceInvestedCapital
GrossCashFlow
GrossCashFlowAfterCapitalAndLeaseExpenditures
DecreaseInOperatingCash
DecreaseInWorkingCapital
DecreaseInGoodwill
DecreaseInNoncurrentAssetsNetOfLiabilities
FreeCashFlow
DecreaseInExcessCash
NonOperatingTaxBenefitOrLoss
CashFlowToAllInvestors
DebtIssuance
DebtPayment
DecreaseInLeaseLiability
CashFlowToDebtHolders
CommonStockIssuanceInclStockBasedCompensation
CashFlowToEquityHolders
CashFlowToDebtAndEquityHolders
GrossMarginAsPercentOfRevenue
OperatingIncomeAsPercentOfRevenue
NetIncomeAsPercentOfRevenue
FixedAssetsAsPercentOfRevenue
ReturnOnInvestedCapitalExclGoodwill
GoodwillAsPercentOfInvestedCapital
ReturnOnInvestedCapitalInclGoodwill
ReturnOnEquity
ReturnOnAssets
EffectiveInterestRate
InterestBurden
TaxBurden
AssetTurnover
PropertyPlantAndEquipmentTurnover
CashTurnover
ReceivablesTurnover
InventoryTurnover
AccountsPayableTurnover
AssetsToEquity
DebtToEquity
DebtToTangibleNetWorth
DebtToEBITA
DebtToEBITDA
CurrentRatio
QuickRatio
EBITDAToInterest
CostOfRevenueAsPercentOfRevenue
SGAAsPercentOfRevenue
DepreciationAsPercentOfLastYearPPE
AmortizationAsPercentOfRevenue
DepreciationAndAmortizationAsPercentOfRevenue
ResearchAndDevelopmentAsPercentOfRevenue
GoodwillImpairmentAsPercentOfRevenue
OtherOperatingExpenseAsPercentOfRevenue
OperatingIncomeOrEBITAsPercentOfRevenue
InterestExpenseAsPercentOfRevenue
InterestIncomeAsPercentOfRevenue
InterestIncomeAsPercentOfPriorYearExcessCash
InterestExpenseIncomeNetAsPercentOfRevenue
OtherNonoperatingIncomeAsPercentOfRevenue
NonoperatingIncomeExpenseNetAsPercentOfRevenue
PretaxIncomeAsPercentOfRevenue
TaxProvisionAsPercentOfRevenue
TaxProvisionAsPercentOfPretaxIncome
NetIncomeControllingAsPercentOfRevenue
NetIncomeNoncontrollingAsPercentOfRevenue
StockBasedCompensationAsPercentOfRevenue
CommonStockDividendPaymentAsPercentOfRevenue
CommonStockDividendPaymentAsPercentOfNetIncome
CommonStockRepurchasePaymentAsPercentOfRevenue
CommonStockRepurchasePaymentAsPercentOfNetIncome
EBITAAsPercentOfRevenue
EBITDAAsPercentOfRevenue
TaxOperatingAsPercentOfRevenue
TaxOperatingAsPercentOfNOPAT
NetOperatingProfitAfterTaxesAsPercentOfRevenue
LeaseExpenseAsPercentOfTotalLeaseLiabilities
CapitalExpendituresAsPercentOfRevenue
UnexplainedChangesInPPEAsPercentOfRevenue
UnexplainedChangesInPPEAsPercentOfPPE
CashAndCashEquivalentsAsPercentOfRevenue
ReceivablesCurrentAsPercentOfRevenue
NontradeReceivablesCurrentAsPercentOfRevenue
InventoryAsPercentOfRevenue
PrepaidExpenseAsPercentOfRevenue
OtherAssetsCurrentAsPercentOfRevenue
AssetsCurrentAsPercentOfRevenue
PropertyPlantAndEquipmentAsPercentOfRevenue
OperatingLeaseAssetsAsPercentOfRevenue
FinanceLeaseAssetsAsPercentOfRevenue
GoodwillAsPercentOfRevenue
ReceivablesNoncurrentAsPercentOfRevenue
OtherAssetsNoncurrentAsPercentOfRevenue
AssetsNoncurrentAsPercentOfRevenue
AssetsAsPercentOfRevenue
AccountsPayableCurrentAsPercentOfRevenue
EmployeeAccruedLiabilitiesCurrentAsPercentOfRevenue
AccruedLiabilitiesCurrentAsPercentOfRevenue
AccruedIncomeTaxesCurrentAsPercentOfRevenue
AccruedIncomeTaxesCurrentAsPercentOfPretaxIncome
DeferredRevenueCurrentAsPercentOfRevenue
ShortTermDebtAsPercentOfRevenue
CommercialPaperAsPercentOfRevenue
ShortTermDebtInclPaperAsPercentOfRevenue
LongTermDebtCurrentAsPercentOfRevenue
LongTermDebtCurrentAsPercentOfLongTermDebt
OperatingLeaseLiabilitiesCurrentAsPercentOfRevenue
FinanceLeaseLiabilitiesCurrentAsPercentOfRevenue
OtherLiabilitiesCurrentAsPercentOfRevenue
LiabilitiesCurrentAsPercentOfRevenue
LongTermDebtNoncurrentAsPercentOfRevenue
OperatingLeaseLiabilitiesNoncurrentAsPercentOfRevenue
FinanceLeaseLiabilitiesNoncurrentAsPercentOfRevenue
TotalLeaseLiabilitiesAsPercentOfRevenue
DeferredTaxLiabilitiesNetAsPercentOfRevenue
DeferredTaxLiabilitiesNetAsPercentOfTaxProvision
OtherLiabilitiesNoncurrentAsPercentOfRevenue
