metric
RevenueFromContractWithCustomerExcludingAssessedTax
CostOfGoodsAndServicesSold
GrossProfit
ResearchAndDevelopmentExpense
SellingGeneralAndAdministrativeExpense
OperatingExpenses
OperatingIncomeLoss
NonoperatingIncomeExpense
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
IncomeTaxExpenseBenefit
NetIncomeLoss
EarningsPerShareBasic
EarningsPerShareDiluted
WeightedAverageNumberOfSharesOutstandingBasic
WeightedAverageNumberOfDilutedSharesOutstanding
CashAndCashEquivalentsAtCarryingValue
MarketableSecuritiesCurrent
AccountsReceivableNetCurrent
NontradeReceivablesCurrent
InventoryNet
OtherAssetsCurrent
AssetsCurrent
MarketableSecuritiesNoncurrent
PropertyPlantAndEquipmentNet
OtherAssetsNoncurrent
AssetsNoncurrent
Assets
AccountsPayableCurrent
OtherLiabilitiesCurrent
ContractWithCustomerLiabilityCurrent
CommercialPaper
LongTermDebtCurrent
LiabilitiesCurrent
LongTermDebtNoncurrent
OtherLiabilitiesNoncurrent
LiabilitiesNoncurrent
Liabilities
CommitmentsAndContingencies
CommonStockSharesOutstanding
CommonStockSharesIssued
CommonStocksIncludingAdditionalPaidInCapital
RetainedEarningsAccumulatedDeficit
AccumulatedOtherComprehensiveIncomeLossNetOfTax
StockholdersEquity
LiabilitiesAndStockholdersEquity
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
DepreciationDepletionAndAmortization
ShareBasedCompensation
OtherNoncashIncomeExpense
IncreaseDecreaseInAccountsReceivable
IncreaseDecreaseInOtherReceivables
IncreaseDecreaseInInventories
IncreaseDecreaseInOtherOperatingAssets
IncreaseDecreaseInAccountsPayable
IncreaseDecreaseInOtherOperatingLiabilities
NetCashProvidedByUsedInOperatingActivities
PaymentsToAcquireAvailableForSaleSecuritiesDebt
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt
PaymentsToAcquirePropertyPlantAndEquipment
PaymentsForProceedsFromOtherInvestingActivities
NetCashProvidedByUsedInInvestingActivities
