metric
OperatingCash
ReceivablesCurrent
NontradeReceivablesCurrent
Inventory
PrepaidExpense
OtherAssetsCurrent
OperaingCurrentAssets
AccountsPayableCurrent
EmployeeAccruedLiabilitiesCurrent
AccruedLiabilitiesCurrent
AccruedIncomeTaxesCurrent
DeferredRevenueCurrent
OtherLiabilitiesCurrent
OperaingCurrentLiabilities
OperaingWorkingCapital
PropertyPlantAndEquipment
OperatingLeaseAssets
FinanceLeaseAssets
ReceivablesNoncurrent
OtherAssetsNoncurrent
OtherLiabilitiesNoncurrent
InvestedCapitalExclGoodwill
Goodwill
InvestedCapitalInclGoodwill
ExcessCash
NoncurrentInvestmentsAndSecurities
DeferredIncomeTaxAssetsNet
TotalFundsInvested
ShortTermDebtInclPaper
LongTermDebt
TotalLeaseLiabilities
DebtAndDebtEquivalents
Equity
EquityInNoncontrollingInterests
EquityAndEquityEquivalents
DebtAndEquity
BalanceInvestedCapital
